subbasin,gsa,year,cropped_acres,idle_acres,urban_acres,other_acres,citrus,deciduous,field,grain,pasture,rice,truck,vineyard,young_perennial
Kaweah,East Kaweah GSA,2020,83848.0,0.0,13874.3,4771.0,62204.4,8738.0,3365.0,2389.7,3504.7,0.0,139.6,2704.6,802.0
Kaweah,East Kaweah GSA,2021,80500.3,3795.5,13896.6,4282.3,60492.3,8662.3,3570.2,411.9,2959.1,0.0,145.5,2729.3,1529.7
Kaweah,East Kaweah GSA,2022,82122.0,4807.1,14888.5,1648.7,60887.6,9052.6,2636.0,2496.2,2249.7,0.0,99.2,2645.4,2055.3
Kaweah,East Kaweah GSA,2023,82564.7,4520.1,15220.0,1884.2,61179.1,9085.3,3115.6,3607.7,1860.1,0.0,99.6,2625.6,991.7
Kaweah,East Kaweah GSA,2024,82704.7,4867.5,15266.4,1301.5,61013.2,8886.0,3063.3,4273.9,1506.6,0.0,153.4,2552.1,1256.2
Kaweah,Greater Kaweah GSA,2020,165154.8,0.0,45093.0,6724.1,12578.1,58438.5,62000.2,7075.0,17035.3,0.0,1846.2,3660.0,2521.5
Kaweah,Greater Kaweah GSA,2021,159976.0,5357.1,45078.1,5999.1,12510.2,57192.8,58538.1,6014.9,16818.9,0.0,2316.2,3459.3,3125.6
Kaweah,Greater Kaweah GSA,2022,162943.9,6467.5,45913.1,1409.0,13087.5,59907.3,60303.5,7211.1,14500.5,0.0,2670.4,3455.2,1808.4
Kaweah,Greater Kaweah GSA,2023,161868.7,5142.9,37844.8,2403.8,13169.9,58188.0,63323.9,7270.0,12357.2,0.0,3180.9,3191.8,1187.0
Kaweah,Greater Kaweah GSA,2024,159123.9,5328.9,38172.2,4193.2,13445.5,55533.9,58490.2,12127.9,11896.9,0.0,3194.6,2906.9,1528.0
Kaweah,Mid-Kaweah GSA,2020,64633.1,0.0,29719.9,3021.7,189.8,23608.0,27374.5,2720.8,9882.5,0.0,313.3,450.9,93.3
Kaweah,Mid-Kaweah GSA,2021,61780.0,2675.6,29801.4,3445.7,175.4,23403.6,25325.0,1682.5,10265.6,0.0,323.2,450.9,153.8
Kaweah,Mid-Kaweah GSA,2022,62645.6,2961.1,30264.0,1417.1,244.2,25368.1,24614.0,1856.9,9357.4,0.0,273.4,438.4,493.2
Kaweah,Mid-Kaweah GSA,2023,63251.2,2062.0,30999.1,1103.4,244.2,25680.8,26027.3,2012.0,8210.8,0.0,374.5,438.4,263.2
Kaweah,Mid-Kaweah GSA,2024,62699.1,1951.4,31254.9,1224.3,231.8,25301.7,25752.0,2578.7,7847.9,0.0,272.0,438.3,276.7
Kern,Arvin GSA,2020,77739.1,0.0,82699.3,9035.8,14780.8,13003.5,1343.3,2442.3,1358.2,0.0,28089.7,16077.3,644.0
Kern,Arvin GSA,2021,77433.9,6179.2,82631.6,3218.1,14151.7,12871.2,1375.9,3694.1,959.9,0.0,27662.3,15570.9,1147.9
