subbasin,gsa,wells_pip,gears_reported,irrigated_agriculture,other,household,livestock,public_supply,industrial,unknown,de_minimis
Tulare Lake,Mid-Kings River GSA,1732,1733,942,563,97,38,28,6,58,544
Tulare Lake,South Fork Kings GSA,515,515,271,176,26,9,16,0,17,187
Tulare Lake,El Rico GSA,297,298,266,7,1,16,5,0,2,5
Tulare Lake,Southwest Kings GSA,8,8,6,1,0,1,0,0,0,1
Tulare Lake,Tri-County Water Authority GSA - Tulare Lake,4,4,4,0,0,0,0,0,0,0
Tule,Lower Tule River Irrigation District GSA,1219,1218,918,42,59,132,7,2,59,29
Tule,Tule East GSA JPA,609,609,308,221,23,3,40,1,13,207
Tule,Pixley Irrigation District GSA,538,538,371,69,16,49,6,0,27,52
Tule,Porterville Irrigation District GSA,234,234,155,48,20,1,6,0,4,44
Tule,Saucelito Irrigation District GSA,223,223,189,16,8,0,0,0,10,11
Tule,Tri-County Water Authority GSA - Tule,197,197,162,20,3,5,2,0,5,17
Tule,Tea Pot Dome Water District GSA,74,74,51,17,4,0,0,0,2,17
Tule,Terra Bella Irrigation District GSA,41,41,8,15,3,0,10,1,4,15
Tule,Alpaugh GSA,32,32,25,0,0,3,2,0,2,0
Tule,Vandalia Water District GSA,27,27,21,4,1,0,0,0,1,4
Tule,County of Tulare GSA - Tule,26,26,25,1,0,0,0,0,0,1
Tule,Delano-Earlimart Irrigation District GSA,18,18,14,3,0,0,0,0,1,3
Tule,Kern-Tulare Water District GSA - Tule,11,11,3,8,0,0,0,0,0,8
